timestamp,src_ip,dst_ip,src_port,dst_port,protocol,tcp_flags,packets,bytes,duration,ttl,udp_tcp_ratio,bytes_per_packet,is_anomaly
2024-01-01 08:01:35,10.0.1.35,10.0.1.47,4319,443,ICMP,0,171,20349,17.7609,64,0.0,119.0,0
2024-01-01 08:12:27,192.168.1.163,192.168.2.217,28053,443,UDP,0,113,102152,22.9682,128,1.0,904.0,0
2024-01-01 08:26:32,10.0.0.223,10.0.0.238,16104,8080,TCP,44,12,3888,16.0073,64,0.0,324.0,0
2024-01-01 08:35:17,10.0.0.218,192.168.2.180,50048,8080,TCP,33,168,190512,28.2311,64,0.0,1134.0,0
2024-01-01 08:06:32,192.168.2.184,172.16.0.126,6983,5432,TCP,14,135,130680,9.8502,255,0.0,968.0,0
2024-01-01 09:17:12,192.168.2.92,172.16.0.152,40050,443,TCP,19,122,89426,16.0861,255,0.0,733.0,0
2024-01-01 08:28:37,10.0.1.139,10.0.1.194,47103,443,TCP,11,83,96529,20.0258,64,0.0,1163.0,0
2024-01-01 08:45:03,10.0.0.207,172.16.0.200,59782,80,UDP,0,152,171608,25.0624,255,1.0,1129.0,0
2024-01-01 09:20:47,192.168.2.129,192.168.2.78,63807,5432,UDP,0,184,242880,9.5266,128,1.0,1320.0,0
2024-01-01 08:18:32,192.168.1.93,172.16.0.191,62512,3306,TCP,10,169,180830,27.6318,128,0.0,1070.0,0
2024-01-01 09:05:08,172.16.0.66,10.0.1.68,1304,5432,TCP,29,168,24024,7.9484,255,0.0,143.0,0
2024-01-01 08:24:21,192.168.2.23,10.0.1.134,63978,8080,ICMP,0,89,77252,6.7752,255,0.0,868.0,0
2024-01-01 08:25:16,172.16.0.42,10.0.1.60,37562,3306,TCP,15,15,13935,14.4608,128,0.0,929.0,0
2024-01-01 08:08:45,10.0.1.242,10.0.1.78,16406,80,TCP,62,42,54768,5.207,64,0.0,1304.0,0
2024-01-01 08:02:19,10.0.0.221,172.16.0.254,29127,443,UDP,0,99,97614,23.273,128,1.0,986.0,0
2024-01-01 09:07:53,172.16.0.143,172.16.0.55,57726,8443,TCP,59,147,166404,19.3793,128,0.0,1132.0,0
2024-01-01 08:54:59,192.168.1.141,192.168.2.47,49186,80,UDP,0,7,6244,19.9795,128,1.0,892.0,0
2024-01-01 08:59:29,10.0.0.134,192.168.1.51,47134,8443,UDP,0,107,103576,21.8181,64,1.0,968.0,0
2024-01-01 09:58:42,192.168.2.41,172.16.0.138,42794,80,TCP,57,137,85214,9.9055,128,0.0,622.0,0
2024-01-01 08:26:08,172.16.0.121,10.0.1.42,12741,22,TCP,0,48,50976,29.3171,128,0.0,1062.0,0
2024-01-01 08:39:25,172.16.0.33,10.0.1.27,42534,443,TCP,61,156,214032,25.1147,255,0.0,1372.0,0
2024-01-01 08:53:29,10.0.0.247,192.168.2.61,46222,3306,UDP,0,70,7910,6.0889,255,1.0,113.0,0
2024-01-01 08:28:08,172.16.0.3,10.0.0.61,15144,8080,ICMP,0,49,21266,23.0459,64,0.0,434.0,0
2024-01-01 08:38:55,192.168.2.34,10.0.0.202,63932,22,TCP,25,78,100308,4.9999,255,0.0,1286.0,0
2024-01-01 08:42:09,192.168.2.122,10.0.1.142,37173,8080,TCP,14,135,163755,2.8884,255,0.0,1213.0,0
2024-01-01 08:34:39,172.16.0.128,10.0.0.254,26539,22,TCP,10,10,2210,26.4727,255,0.0,221.0,0
2024-01-01 08:06:55,10.0.0.148,10.0.0.42,64051,277,TCP,2,1,60,0.000517,64,0.0,60.0,1
2024-01-01 08:38:37,192.168.2.7,172.16.0.32,57975,5432,UDP,0,180,159480,0.1025,255,1.0,886.0,0
